# t 	 Sigma_L 	 Sigma_R 	 ILR 
0.0	0.0	0.0	8.301153326749366e-06
0.001	0.0	0.0	3.320461330699746e-05
0.002	0.0	0.0	7.471037994074425e-05
0.003	0.0	0.02	-1.8939482934521305e-05
0.004	0.0	0.02	4.767142417682997e-05
0.005	0.0	0.02	0.0001305616210635387
0.006	0.0	0.02	0.0002297311077256051
0.007	0.0	0.04	-8.700602794117256e-06
0.008	0.0	0.06	-0.00029058790286416334
0.009000000000000001	0.0	0.06	-0.0001615882392076176
0.01	0.0	0.08	-0.0005224277195851197
0.011	0.0	0.08	-0.00037219436211566813
0.012	0.0	0.08	-0.0002066507655052826
0.013000000000000001	0.02	0.1	0.019005318868354874
0.014	0.02	0.1	0.01908245627254927
0.015	0.06	0.1	0.017180215369995252
0.016	0.06	0.1	0.017252054959766828
0.017	0.06	0.1	0.017338558754923107
0.018000000000000002	0.06	0.1	0.017439726755463996
0.019	0.06	0.1	0.01755555896138947
0.02	0.06	0.1	0.017686055372699662
0.021	0.06	0.12000000000000001	0.016769906574656074
0.022	0.06	0.12000000000000001	0.016916660464316842
0.023	0.06	0.12000000000000001	0.01707775554248407
0.024	0.06	0.12000000000000001	0.01725319180915787
0.025	0.06	0.12000000000000001	0.017442969264338117
0.026000000000000002	0.06	0.12000000000000001	0.01764708790802494
0.027	0.06	0.12000000000000001	0.01786554774021821
0.028	0.06	0.12000000000000001	0.018098348760918058
0.029	0.06	0.12000000000000001	0.018345490970124365
0.03	0.06	0.12000000000000001	0.018606974367837228
0.031	0.06	0.12000000000000001	0.018882798954056552
0.032	0.06	0.12000000000000001	0.019172964728782334
0.033	0.06	0.12000000000000001	0.019477471692014806
0.034	0.06	0.12000000000000001	0.019796319843753605
0.035	0.06	0.12000000000000001	0.020129509183998983
0.036000000000000004	0.08	0.12000000000000001	0.01808364588997692
0.037	0.08	0.12000000000000001	0.018421758424695418
0.038	0.08	0.12000000000000001	0.018773889131042238
0.039	0.08	0.12000000000000001	0.019140038009017472
0.04	0.08	0.12000000000000001	0.019520205058621135
0.041	0.08	0.12000000000000001	0.01991439027985301
0.042	0.08	0.14	0.018200140866303213
0.043000000000000003	0.1	0.14	0.01574474778946853
0.044	0.1	0.14	0.01613610101216541
0.045	0.1	0.14	0.016540826372734418
0.046	0.1	0.14	0.016958923871175473
0.047	0.1	0.16	0.015015287512585167
0.048	0.1	0.16	0.015439877357167094
0.049	0.1	0.16	0.01587751632274298
0.05	0.1	0.18	0.013801506501313352
0.051000000000000004	0.1	0.18	0.014244163202675575
0.052000000000000005	0.1	0.19999999999999998	0.012071786824756858
0.053	0.1	0.19999999999999998	0.012518262843750329
0.054	0.1	0.19999999999999998	0.01297714194998147
0.055	0.1	0.19999999999999998	0.013448424143450316
0.056	0.1	0.21999999999999997	0.011102227689965357
0.057	0.1	0.21999999999999997	0.01157557839851151
0.058	0.1	0.23999999999999996	0.00913006616782848
0.059000000000000004	0.1	0.23999999999999996	0.00960428697329688
0.06	0.1	0.23999999999999996	0.010090264832246664
0.061	0.12000000000000001	0.23999999999999996	0.02757430225963334
0.062	0.12000000000000001	0.23999999999999996	0.027986821867556983
0.063	0.12000000000000001	0.26	0.046231785676487225
0.064	0.16	0.26	0.038235134019990326
0.065	0.16	0.26	0.03869684073382113
0.066	0.16	0.28	0.03583447035619902
0.067	0.16	0.28	0.03629289952808799
0.068	0.16	0.28	0.03676211670282391
0.069	0.16	0.28	0.03724212188040677
0.07	0.16	0.28	0.03773291506083664
0.07100000000000001	0.16	0.28	0.0382344962441134
0.07200000000000001	0.16	0.28	0.03874686543023714
0.073	0.16	0.28	0.03927002261920784
0.074	0.16	0.28	0.03980396781102554
0.075	0.16	0.28	0.040348701005690164
0.076	0.16	0.3	0.0370637277150371
0.077	0.16	0.3	0.037601775412009486
0.078	0.16	0.3	0.03815028809495074
0.079	0.16	0.3	0.03870926576386073
0.08	0.16	0.3	0.039278708418739594
